job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
MathWorks:37281,MathWorks,"Manager, UK Engineering Development Group",UK-Cambridge; Cambridge; UK,Technical Sales Engineering,https://www.mathworks.com/company/jobs/opportunities/37281-manager-uk-engineering-development-group.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37281
MathWorks:36986,MathWorks,Marketing and Business Development Specialist Startups(EMEA),UK-Cambridge; Cambridge; UK,Marketing Communications,https://www.mathworks.com/company/jobs/opportunities/36986-marketing-and-business-development-specialist-startups-emea.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:36986
MathWorks:37165,MathWorks,Marketing Event Specialist,IN-Bangalore; Bangalore; IN,Marketing Services,https://www.mathworks.com/company/jobs/opportunities/37165-marketing-event-specialist.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37165
MathWorks:35672,MathWorks,MATLAB Biomedical Engineering Market Development,US-MA-Natick; Natick; United States,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/35672-matlab-biomedical-engineering-market-development.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:35672
MathWorks:35417,MathWorks,McGill University MATLAB Student Ambassador,CA-Toronto; Toronto; CA,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/35417-mcgill-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:35417
MathWorks:37137,MathWorks,McMaster University MATLAB Student Ambassador,CA-Toronto; Toronto; CA,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37137-mcmaster-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37137
MathWorks:37194,MathWorks,Michigan State University MATLAB Student Ambassador,US-MA-Natick; Natick; United States,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37194-michigan-state-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37194
MathWorks:35514,MathWorks,Michigan Technological University MATLAB Student Ambassador,US-MA-Natick; Natick; United States,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/35514-michigan-technological-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:35514
MathWorks:37018,MathWorks,Nanjing University MATLAB Student Ambassador,CN-Shanghai; Shanghai; CN,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37018-nanjing-university-matlab-student-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37018
MathWorks:37108,MathWorks,National Institute of Technology Rourkela MATLAB Ambassador,IN-Bangalore; Bangalore; IN,Education Marketing,https://www.mathworks.com/company/jobs/opportunities/37108-national-institute-of-technology-rourkela-matlab-ambassador.html,,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,mathworks:MathWorks:37108
